,week,time,use,sid,count
18410,5,11,0,ME19B253,1
18411,5,12,0,ME19B253,1
18412,5,12,0,ME19B253,1
18413,5,13,0,ME19B253,1
18414,5,13,0,ME19B253,1
18415,5,14,0,ME19B253,1
18416,5,14,0,ME19B253,1
18417,5,15,0,ME19B253,1
18418,5,15,0,ME19B253,1
18419,5,16,0,ME19B253,1
18420,5,16,0,ME19B253,1
18421,5,17,0,ME19B253,1
18422,5,17,0,ME19B253,1
18423,5,18,0,ME19B253,1
18424,5,18,0,ME19B253,1
18425,5,19,0,ME19B253,1
18426,5,19,0,ME19B253,1
18427,5,20,0,ME19B253,1
18428,5,20,0,ME19B253,1
18429,5,21,0,ME19B253,1
18430,5,21,0,ME19B253,1
18431,5,22,0,ME19B253,1
18432,5,22,0,ME19B253,1
18433,5,23,0,ME19B253,1
18434,5,23,0,ME19B253,1
18435,6,0,0,ME19B253,1
18436,6,0,0,ME19B253,1
18437,6,1,0,ME19B253,1
18438,6,1,0,ME19B253,1
18439,6,2,0,ME19B253,1
18440,6,2,0,ME19B253,1
18441,6,3,0,ME19B253,1
18442,6,3,0,ME19B253,1
18443,6,4,0,ME19B253,1
18444,6,4,0,ME19B253,1
18445,6,5,0,ME19B253,1
18446,6,5,0,ME19B253,1
18447,6,6,0,ME19B253,1
18448,6,6,0,ME19B253,1
18449,6,7,0,ME19B253,1
18450,6,7,0,ME19B253,1
18451,6,8,0,ME19B253,1
18452,6,8,0,ME19B253,1
18453,6,9,0,ME19B253,1
18454,6,9,0,ME19B253,1
18455,6,10,0,ME19B253,1
18456,6,10,0,ME19B253,1
18457,6,11,0,ME19B253,1
18458,6,11,0,ME19B253,1
18459,6,12,0,ME19B253,1
18460,6,12,0,ME19B253,1
18461,6,13,0,ME19B253,1
18462,6,13,0,ME19B253,1
18463,6,14,0,ME19B253,1
18464,6,14,0,ME19B253,1
18465,6,15,0,ME19B253,1
18466,6,15,0,ME19B253,1
18467,6,16,0,ME19B253,1
18468,6,16,0,ME19B253,1
18469,6,17,0,ME19B253,1
18470,6,17,0,ME19B253,1
18471,6,18,0,ME19B253,1
18472,6,18,0,ME19B253,1
18473,6,19,0,ME19B253,1
18474,6,19,0,ME19B253,1
18475,6,20,0,ME19B253,1
18476,6,20,0,ME19B253,1
18477,6,21,0,ME19B253,1
18478,6,21,0,ME19B253,1
18479,6,22,0,ME19B253,1
18480,6,22,0,ME19B253,1
18481,6,23,0,ME19B253,1
18482,6,23,0,ME19B253,1
18483,0,0,0,ME19B253,1
18484,0,0,0,ME19B253,1
18485,0,1,0,ME19B253,1
18486,0,1,0,ME19B253,1
18487,0,2,0,ME19B253,1
18488,0,2,0,ME19B253,1
18489,0,3,0,ME19B253,1
18490,0,3,0,ME19B253,1
18491,0,4,0,ME19B253,1
18492,0,4,0,ME19B253,1
18493,0,5,0,ME19B253,1
18494,0,5,0,ME19B253,1
18495,0,6,0,ME19B253,1
18496,0,6,0,ME19B253,1
18497,0,7,0,ME19B253,1
18498,0,7,0,ME19B253,1
18499,0,8,0,ME19B253,1
18500,0,8,0,ME19B253,1
18501,0,9,0,ME19B253,1
18502,0,9,0,ME19B253,1
18503,0,10,0,ME19B253,1
18504,0,10,0,ME19B253,1
18505,0,11,0,ME19B253,1
18506,0,11,0,ME19B253,1
18507,0,12,0,ME19B253,1
18508,0,12,0,ME19B253,1
18509,0,13,0,ME19B253,1
18510,0,13,0,ME19B253,1
18511,0,14,1,ME19B253,1
18512,0,14,1,ME19B253,1
18513,0,14,0,ME19B253,1
18514,0,14,0,ME19B253,1
18515,0,15,0,ME19B253,1
18516,0,15,0,ME19B253,1
18517,0,16,0,ME19B253,1
18518,0,16,0,ME19B253,1
18519,0,17,0,ME19B253,1
18520,0,17,0,ME19B253,1
18521,0,18,0,ME19B253,1
18522,0,18,0,ME19B253,1
18523,0,19,0,ME19B253,1
18524,0,19,0,ME19B253,1
18525,0,20,0,ME19B253,1
18526,0,20,0,ME19B253,1
18527,0,21,0,ME19B253,1
18528,0,21,0,ME19B253,1
18529,0,22,0,ME19B253,1
18530,0,22,0,ME19B253,1
18531,0,23,0,ME19B253,1
18532,0,23,0,ME19B253,1
18533,1,0,0,ME19B253,1
18534,1,0,0,ME19B253,1
18535,1,1,0,ME19B253,1
18536,1,1,0,ME19B253,1
18537,1,2,0,ME19B253,1
18538,1,2,0,ME19B253,1
18539,1,3,0,ME19B253,1
18540,1,3,0,ME19B253,1
18541,1,4,0,ME19B253,1
18542,1,4,0,ME19B253,1
18543,1,5,0,ME19B253,1
18544,1,5,0,ME19B253,1
18545,1,6,0,ME19B253,1
18546,1,6,0,ME19B253,1
18547,1,7,0,ME19B253,1
18548,1,7,0,ME19B253,1
18549,1,8,0,ME19B253,1
18550,1,8,0,ME19B253,1
18551,1,9,0,ME19B253,1
18552,1,9,0,ME19B253,1
18553,1,10,0,ME19B253,1
18554,1,10,0,ME19B253,1
18555,1,11,0,ME19B253,1
18556,1,11,0,ME19B253,1
18557,1,12,0,ME19B253,1
18558,1,12,0,ME19B253,1
18559,1,13,1,ME19B253,1
18560,1,13,1,ME19B253,1
18561,1,13,0,ME19B253,1
18562,1,13,0,ME19B253,1
