"id","start_date","start_time","end_date","end_time"
"427800020","2020-10-15 Thu","16:19:15","2020-10-16 Fri","00:40:11"
"428100010","2020-10-15 Thu","18:23:40","2020-10-15 Thu","19:01:41"
"428100010","2020-10-16 Fri","14:32:01","2020-10-16 Fri","15:58:56"
"428300010","2020-10-15 Thu","19:23:57","2020-10-15 Thu","20:08:45"
"428300010","2020-10-16 Fri","15:58:56",\t,\t
"431110010","2020-10-15 Thu","17:05:39","2020-10-15 Thu","17:52:20"
"431110010","2020-10-15 Thu","22:47:33","2020-10-15 Thu","23:33:37"
"431130010","2020-10-15 Thu","18:23:40","2020-10-15 Thu","18:54:13"
"431130010","2020-10-15 Thu","19:38:45","2020-10-15 Thu","20:16:24"
"431130010","2020-10-16 Fri","13:58:44","2020-10-16 Fri","14:32:01"
"431300040","2020-10-16 Fri","13:43:03","2020-10-16 Fri","13:58:44"
"437200020","2020-10-15 Thu","17:36:57","2020-10-15 Thu","18:00:08"
"437200020","2020-10-15 Thu","19:01:41","2020-10-15 Thu","22:24:02"
"437200020","2020-10-16 Fri","15:58:56",\t,\t
"437300020","2020-10-16 Fri","14:07:23","2020-10-16 Fri","15:58:56"
"437400020","2020-10-15 Thu","16:43:50","2020-10-15 Thu","16:58:49"
"437400020","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:15:33"
"437400020","2020-10-16 Fri","13:50:50","2020-10-16 Fri","15:58:56"
"437450010","2020-10-15 Thu","16:58:49","2020-10-15 Thu","17:21:22"
"437450010","2020-10-16 Fri","13:43:03","2020-10-16 Fri","14:40:47"
"438000010","2020-10-15 Thu","20:46:27","2020-10-15 Thu","21:37:21"
"438000020","2020-10-16 Fri","13:43:03","2020-10-16 Fri","13:50:50"
"438000020","2020-10-16 Fri","15:58:56",\t,\t
"441330020","2020-10-16 Fri","14:07:23","2020-10-16 Fri","14:15:22"
"441500020","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:43:50"
"441500020","2020-10-15 Thu","16:51:30","2020-10-15 Thu","17:13:03"
